Athlete_Code,Event_Tag,Medal_Type,Date_Achieved
DIVW3MTEAM2-CHN01,Women's Synchronised 3m Springboard,Gold Medal,2024-07-27
DIVW3MTEAM2-USA01,Women's Synchronised 3m Springboard,Silver Medal,2024-07-27
DIVW3MTEAM2-GBR01,Women's Synchronised 3m Springboard,Bronze Medal,2024-07-27
SWMM4X100MFRUSA01,Men's 4 x 100m Freestyle Relay,Gold Medal,2024-07-27
SWMM4X100MFRAUS01,Men's 4 x 100m Freestyle Relay,Silver Medal,2024-07-27
SWMM4X100MFRITA01,Men's 4 x 100m Freestyle Relay,Bronze Medal,2024-07-27
1907192,Men's 400m Freestyle,Gold Medal,2024-07-27
1946172,Men's 400m Freestyle,Silver Medal,2024-07-27
4654306,Men's 400m Freestyle,Bronze Medal,2024-07-27
SWMW4X100MFRAUS01,Women's 4 x 100m Freestyle Relay,Gold Medal,2024-07-27
SWMW4X100MFRUSA01,Women's 4 x 100m Freestyle Relay,Silver Medal,2024-07-27
SWMW4X100MFRCHN01,Women's 4 x 100m Freestyle Relay,Bronze Medal,2024-07-27
1946150,Women's 400m Freestyle,Gold Medal,2024-07-27
1967140,Women's 400m Freestyle,Silver Medal,2024-07-27
1935938,Women's 400m Freestyle,Bronze Medal,2024-07-27
1925633,Men's 100m Breaststroke,Gold Medal,2024-07-28
1956469,Men's 100m Breaststroke,Silver Medal,2024-07-28
1935901,Men's 100m Breaststroke,Silver Medal,2024-07-28
1909294,Men's 400m Individual Medley,Gold Medal,2024-07-28
1963635,Men's 400m Individual Medley,Silver Medal,2024-07-28
1935903,Men's 400m Individual Medley,Bronze Medal,2024-07-28
1935923,Women's 100m Butterfly,Gold Medal,2024-07-28
1935998,Women's 100m Butterfly,Silver Medal,2024-07-28
1945125,Women's 100m Butterfly,Bronze Medal,2024-07-28
DIVM10MTEAM2CHN01,Men's Synchronised 10m Platform,Gold Medal,2024-07-29
DIVM10MTEAM2GBR01,Men's Synchronised 10m Platform,Silver Medal,2024-07-29
DIVM10MTEAM2CAN01,Men's Synchronised 10m Platform,Bronze Medal,2024-07-29
1925635,Men's 100m Backstroke,Gold Medal,2024-07-29
1945132,Men's 100m Backstroke,Silver Medal,2024-07-29
1935957,Men's 100m Backstroke,Bronze Medal,2024-07-29
1543549,Men's 200m Freestyle,Gold Medal,2024-07-29
1903617,Men's 200m Freestyle,Silver Medal,2024-07-29
1935918,Men's 200m Freestyle,Bronze Medal,2024-07-29
1962589,Women's 100m Breaststroke,Gold Medal,2024-07-29
1945200,Women's 100m Breaststroke,Silver Medal,2024-07-29
1543304,Women's 100m Breaststroke,Bronze Medal,2024-07-29
1946218,Women's 200m Freestyle,Gold Medal,2024-07-29
1946150,Women's 200m Freestyle,Silver Medal,2024-07-29
1925125,Women's 200m Freestyle,Bronze Medal,2024-07-29
1967140,Women's 400m Individual Medley,Gold Medal,2024-07-29
1935909,Women's 400m Individual Medley,Silver Medal,2024-07-29
1936001,Women's 400m Individual Medley,Bronze Medal,2024-07-29
