Team_Code,Team_Name,Team_Gender,Country_Code,Discipline_Code,Event_Tag
DIVM10MTEAM2AUS01,Australia,M,AUS,diving,Men's Synchronised 10m Platform
DIVM10MTEAM2CAN01,Canada,M,CAN,diving,Men's Synchronised 10m Platform
DIVM10MTEAM2CHN01,People's Republic of China,M,CHN,diving,Men's Synchronised 10m Platform
DIVM10MTEAM2FRA01,France,M,FRA,diving,Men's Synchronised 10m Platform
DIVM10MTEAM2GBR01,Great Britain,M,GBR,diving,Men's Synchronised 10m Platform
DIVM10MTEAM2GER01,Germany,M,GER,diving,Men's Synchronised 10m Platform
DIVM10MTEAM2MEX01,Mexico,M,MEX,diving,Men's Synchronised 10m Platform
DIVM10MTEAM2UKR01,Ukraine,M,UKR,diving,Men's Synchronised 10m Platform
DIVM3MTEAM2-CHN01,People's Republic of China,M,CHN,diving,Men's Synchronised 3m Springboard
DIVM3MTEAM2-ESP01,Spain,M,ESP,diving,Men's Synchronised 3m Springboard
DIVM3MTEAM2-FRA01,France,M,FRA,diving,Men's Synchronised 3m Springboard
DIVM3MTEAM2-GBR01,Great Britain,M,GBR,diving,Men's Synchronised 3m Springboard
DIVM3MTEAM2-ITA01,Italy,M,ITA,diving,Men's Synchronised 3m Springboard
DIVM3MTEAM2-MEX01,Mexico,M,MEX,diving,Men's Synchronised 3m Springboard
DIVM3MTEAM2-UKR01,Ukraine,M,UKR,diving,Men's Synchronised 3m Springboard
DIVM3MTEAM2-USA01,United States of America,M,USA,diving,Men's Synchronised 3m Springboard
DIVW10MTEAM2CAN01,Canada,W,CAN,diving,Women's Synchronised 10m Platform
DIVW10MTEAM2CHN01,People's Republic of China,W,CHN,diving,Women's Synchronised 10m Platform
DIVW10MTEAM2FRA01,France,W,FRA,diving,Women's Synchronised 10m Platform
DIVW10MTEAM2GBR01,Great Britain,W,GBR,diving,Women's Synchronised 10m Platform
DIVW10MTEAM2MEX01,Mexico,W,MEX,diving,Women's Synchronised 10m Platform
DIVW10MTEAM2PRK01,Democratic People's Republic of Korea,W,PRK,diving,Women's Synchronised 10m Platform
DIVW10MTEAM2UKR01,Ukraine,W,UKR,diving,Women's Synchronised 10m Platform
DIVW10MTEAM2USA01,United States of America,W,USA,diving,Women's Synchronised 10m Platform
